Timestamp,Usia,JK,Sekolah,Kelas,Jumlah uang bulanan,"Seberapa besar pengaruh teman-teman Anda dalam pengambilan keputusan sehari-hari (contohnya dalam memilih pakaian, tempat nongkrong dan barang yang ingin dibeli)?",Seberapa besar rasa takut Anda merasa ditolak dalam pertemanan jika dianggap ketinggalan tren atau tidak mengikuti gaya teman-teman Anda?,"Seberapa sering Anda membeli suatu barang karena diajak atau dipengaruhi oleh teman Anda, bukan karena kebutuhan pribadi?",Dalam seminggu berapa kali Anda biasanya keluar untuk nongkrong  bersama teman?,Media sosial yang sering digunakan,Lama rata-rata Anda menggunakan media sosial,Seberapa besar pengaruh rekomendasi influencer terhadap pilihan belanja atau gaya hidup Anda?,"Dalam satu bulan, berapa kali Anda melakukan pembelian melalui platform belanja online seperti Shopee, Tokopedia dan Tiktok Shop?",Seberapa sering Anda makan atau membeli jajanan diluar rumah dalam seminggu?,Total pengeluaran dalam satu bulan,"Seberapa sering Anda membeli barang dalam satu bulan (termasuk jajan, nongkrong, belanja dan kebutuhan lainnya)?",Seberapa sering Anda membeli barang secara spontan tanpa perencanaan sebelumnya (impulsive buying)?,Saya merasa perlu membeli barang-barang yang sedang tren agar saya dapat diterima dalam kelompok pertemanan saya,"Sebagian besar uang saku saya habis karena kegiatan bersama teman, seperti nongkrong, makan diluar atau mengikuti tren lain?",Saya sering merasa terdorong untuk mencoba tempat-tempat yang sedang tren di media sosial karena banyak teman saya yang melakukannya,Saya rela mengurangi atau menghemat uang makan dan transportasi agar bisa membeli barang atau mengikuti tren yang sedang populer di sekolah,Frekuensi saya nongkrong di kafe atau tempat hangout tertentu meningkat karena sering diajak atau dipengaruhi oleh teman,Sekolah_Clean,Rasio_Pengeluaran,Status_Keuangan,Medsoc_Discord,Medsoc_Facebook,Medsoc_Instagram,Medsoc_Line,Medsoc_Pinterest,Medsoc_Talkin,Medsoc_Telegram,Medsoc_Threads,Medsoc_Tidak Ada,Medsoc_TikTok,Medsoc_Twitter/X,Medsoc_VK,Medsoc_WeChat,Medsoc_WhatsApp,Medsoc_Yeetalk,Medsoc_YouTube
2025-11-26 08:51:25.968,18.0,Laki-laki,SMA N 1 LAGUBOTI,XII,200000.0,Cukup,Sedikit Takut,Kadang-Kadang,0 kali / Tidak pernah,"Instagram, WhatsApp, TikTok",3–4 jam per hari,Cukup,0 kali /  Tidak pernah,Kadang-kadang,240000.0,Tidak Pernah,Tidak Pernah,Netral,Netral,Netral,Netral,Netral,SMA N 1 LAGUBOTI,1.2,Defisit (Nombok),0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
2025-11-26 08:51:44.569,17.0,Perempuan,SMA N 1 LAGUBOTI,XII,100000.0,Cukup,Sedikit Takut,Sering,0 kali / Tidak pernah,"Instagram, WhatsApp",5–6 jam per hari,Sedikit,0 kali /  Tidak pernah,Sering,85000.0,Sering,Tidak Pernah,Tidak Setuju,Tidak Setuju,Setuju,Tidak Setuju,Tidak Setuju,SMA N 1 LAGUBOTI,0.85,Boros,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2025-11-26 08:52:35.154,17.0,Laki-laki,SMA N 1 LAGUBOTI,XII,280000.0,Cukup,Cukup Takut,Jarang,0 kali / Tidak pernah,"Instagram, Facebook, WhatsApp, TikTok",3–4 jam per hari,Sedikit,1-2 kali per bulan,Kadang-kadang,210000.0,Kadang-kadang,Jarang,Netral,Tidak Setuju,Netral,Tidak Setuju,Tidak Setuju,SMA N 1 LAGUBOTI,0.75,Wajar,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
2025-11-26 08:52:38.027,17.0,Laki-laki,SMA N 1 LAGUBOTI,XII,200000.0,Sedikit,Tidak Takut Sama Sekali,Jarang,0 kali / Tidak pernah,Instagram,3–4 jam per hari,Cukup,1-2 kali per bulan,Jarang,75000.0,Kadang-kadang,Tidak Pernah,Sangat Tidak Setuju,Netral,Tidak Setuju,Netral,Netral,SMA N 1 LAGUBOTI,0.375,Hemat,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-26 08:52:57.471,17.0,Laki-laki,SMA N 1 LAGUBOTI,XII,240000.0,Sedikit,Sedikit Takut,Tidak Pernah,1-2 kali per minggu,"Instagram, WhatsApp, TikTok",3–4 jam per hari,Tidak Sama Sekali,1-2 kali per bulan,Kadang-kadang,200000.0,Kadang-kadang,Jarang,Tidak Setuju,Netral,Tidak Setuju,Netral,Tidak Setuju,SMA N 1 LAGUBOTI,0.8333333333333334,Boros,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
2025-11-26 08:53:00.874,17.0,Laki-laki,SMA N 1 LAGUBOTI,XII,300000.0,Cukup,Tidak Takut Sama Sekali,Jarang,1-2 kali per minggu,"Instagram, WhatsApp, TikTok",3–4 jam per hari,Cukup,1-2 kali per bulan,Kadang-kadang,250000.0,Jarang,Jarang,Sangat Tidak Setuju,Netral,Tidak Setuju,Netral,Tidak Setuju,SMA N 1 LAGUBOTI,0.8333333333333334,Boros,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
2025-11-26 08:53:30.734,17.0,Laki-laki,SMA N 1 LAGUBOTI,XII,300000.0,Sangat Banyak,Sedikit Takut,Jarang,1-2 kali per minggu,"Instagram, WhatsApp",3–4 jam per hari,Sedikit,1-2 kali per bulan,Sering,300000.0,Tidak Pernah,Jarang,Sangat Tidak Setuju,Setuju,Netral,Netral,Netral,SMA N 1 LAGUBOTI,1.0,Boros,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2025-11-26 08:53:35.297,18.0,Laki-laki,SMA N 1 LAGUBOTI,XII,200000.0,Cukup,Tidak Takut Sama Sekali,Kadang-Kadang,1-2 kali per minggu,"Instagram, WhatsApp, TikTok",3–4 jam per hari,Cukup,5-6 kali per bulan,Kadang-kadang,150000.0,Kadang-kadang,Tidak Pernah,Netral,Tidak Setuju,Netral,Netral,Tidak Setuju,SMA N 1 LAGUBOTI,0.75,Wajar,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
2025-11-26 08:54:00.685,17.0,Perempuan,SMA N 1 LAGUBOTI,XII,300000.0,Banyak,Sedikit Takut,Kadang-Kadang,1-2 kali per minggu,"Instagram, WhatsApp, TikTok",5–6 jam per hari,Cukup,1-2 kali per bulan,Sering,200000.0,Sering,Kadang-Kadang,Netral,Netral,Tidak Setuju,Netral,Tidak Setuju,SMA N 1 LAGUBOTI,0.6666666666666666,Wajar,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
2025-11-26 08:54:05.384,18.0,Laki-laki,SMA N 1 LAGUBOTI,XII,360000.0,Sedikit,Sedikit Takut,Tidak Pernah,1-2 kali per minggu,"Instagram, WhatsApp, TikTok",1–2 jam per hari,Tidak Sama Sekali,1-2 kali per bulan,Kadang-kadang,300000.0,Jarang,Tidak Pernah,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,SMA N 1 LAGUBOTI,0.8333333333333334,Boros,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
